,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,IForest,kNN,LODA,LOF,MCD,OCSVM,PCA,DAGMM,DeepSVDD,DROCC,GOAD,ICL,PlanarFlow,DDPM,DTE-NP,DTE-IG,DTE-C,odim,oneclasssvm,lof,if,copod,ecod,deepsvdd,rsrae
ionosphere,89.19(1.14),78.27(1.27),71.65(1.21),87.64(1.63),54.44(3.14),83.3(1.31),92.18(1.24),78.84(4.28),86.38(2.12),95.14(0.75),83.79(1.44),77.68(1.24),64.1(4.77),51.37(9.79),76.6(7.87),82.92(2.69),62.9(2.96),88.37(1.49),75.75(2.41),92.4(1.63),69.72(11.39),91.14(1.82),91.39%,75.80%,89.42%,85.87%,80.44%,73.58%,82.71%,96.87%
landsat,54.77(4.28),42.17(0.12),36.83(0.13),54.03(1.15),57.5(0.58),47.4(2.32),61.44(0.32),38.23(3.78),54.86(1.33),60.7(0.07),42.33(0.26),36.55(0.29),53.25(1.1),63.13(2.62),62.56(0.47),50.59(9.05),64.86(1.86),46.44(0.89),49.62(0.59),60.2(0.39),47.31(8.29),54.42(1.2),45.81%,37.05%,53.98%,49.13%,42.55%,37.19%,66.70%,47.37%
letter,76.32(1.8),56.02(0.07),57.26(0.13),88.58(0.51),58.85(0.59),61.56(1.17),81.21(0.3),53.71(4.29),87.81(0.48),80.43(0.42),59.81(0.28),52.35(0.29),50.31(5.01),51.74(2.09),78.03(2.72),59.77(1.85),73.65(1.25),68.92(3.77),84.73(1.44),85.0(0.5),67.63(4.86),78.13(1.49),65.38%,47.11%,83.20%,66.29%,57.61%,57.73%,72.28%,49.24%
lymphography,99.35(0.74),99.6(0.09),99.49(0.14),52.34(18.31),99.49(0.18),99.85(0.1),99.51(0.28),90.04(11.06),63.63(18.01),98.9(0.24),99.56(0.27),99.67(0.25),84.0(4.77),68.07(30.75),87.75(8.04),99.53(0.28),88.43(4.62),94.03(5.01),95.77(4.02),98.89(0.72),85.23(7.81),83.41(11.37),,,,,,,,
magic.gamma,72.53(0.1),68.1(0.04),63.8(0.05),69.96(0.64),70.93(0.55),72.1(0.79),79.5(0.15),65.5(1.41),67.84(0.38),69.87(0.1),67.26(0.18),66.73(0.11),58.44(3.35),60.37(1.2),72.79(0.59),44.24(4.6),67.55(1.02),74.23(4.69),76.26(1.48),80.07(0.15),78.21(2.19),76.45(1.39),77.00%,59.44%,67.70%,73.29%,67.99%,63.64%,63.74%,62.57%
mammography,79.5(1.84),90.54(0.03),90.62(0.03),72.61(0.51),83.77(0.9),85.96(1.73),85.17(0.24),86.69(2.45),70.15(1.87),69.02(1.35),87.11(0.13),88.84(0.29),71.91(17.95),45.13(6.77),77.92(1.81),41.41(13.31),65.76(9.12),78.22(2.96),74.94(2.14),84.86(0.22),79.94(5.76),81.02(2.74),84.76%,84.60%,75.45%,86.21%,90.25%,90.33%,69.65%,53.51%
mnist,84.26(1.11),50.0(0.0),50.0(0.0),66.44(1.42),57.36(0.38),81.06(2.17),86.66(0.59),56.4(11.07),65.77(1.94),85.62(1.32),84.91(0.22),84.76(0.43),63.14(6.24),60.48(14.11),61.51(1.13),69.76(8.76),69.06(1.61),64.49(15.63),81.6(1.2),85.27(0.77),75.56(4.12),81.89(1.32),,,,,,,,
musk,100.0(0.0),94.81(0.48),95.28(0.29),57.54(10.67),100.0(0.0),99.77(0.38),96.42(3.15),99.3(0.77),58.07(8.89),99.96(0.05),100.0(0.0),100.0(0.0),91.22(7.47),53.84(15.38),57.49(5.9),100.0(0.0),79.0(2.58),74.83(25.71),99.95(0.03),88.17(5.61),78.48(12.07),96.47(1.74),100.00%,81.59%,37.05%,99.95%,94.77%,95.51%,75.87%,72.64%
optdigits,78.48(0.95),50.0(0.0),50.0(0.0),53.93(5.59),86.81(0.25),69.63(4.81),39.52(2.17),49.29(9.35),53.82(5.25),41.27(5.26),50.66(1.46),51.78(0.53),40.78(19.75),51.94(25.08),56.52(3.54),65.66(7.61),53.29(6.15),49.15(13.23),40.15(3.71),38.61(2.33),51.34(4.5),50.77(6.25),55.06%,56.17%,53.02%,76.93%,68.20%,60.78%,51.97%,58.36%
pageblocks,89.3(2.14),87.48(0.21),91.37(0.1),75.83(1.79),77.89(2.07),89.72(0.35),91.94(0.32),71.24(10.47),70.33(1.55),92.3(0.22),91.42(0.21),90.67(0.47),75.29(4.49),59.24(11.13),91.38(1.48),60.93(7.81),76.75(1.0),90.8(2.02),82.0(0.91),90.64(0.63),85.02(8.84),92.39(0.84),87.71%,89.23%,75.32%,89.18%,87.35%,91.24%,64.84%,81.39%
pendigits,86.38(7.22),90.6(0.43),92.69(0.15),51.82(5.22),92.47(0.38),94.69(0.78),82.81(3.01),89.51(0.85),53.42(4.61),83.41(0.94),92.86(0.48),93.58(0.12),54.8(21.37),38.26(12.39),52.01(4.93),59.23(15.6),65.02(4.5),77.99(9.67),70.03(5.43),78.64(3.13),62.39(10.39),71.33(6.62),95.31%,93.59%,48.59%,95.69%,90.77%,92.96%,61.33%,90.68%
pima,65.49(1.65),66.2(1.21),60.38(1.54),57.31(3.88),70.38(1.21),67.37(1.88),72.33(1.74),59.52(7.09),56.34(3.89),68.64(2.09),63.11(1.82),65.11(2.53),52.16(3.2),51.01(3.01),54.18(11.49),60.57(18.25),52.4(2.56),61.51(5.6),53.74(5.29),70.71(2.47),59.92(3.39),62.37(3.09),70.57%,62.58%,64.83%,67.18%,64.25%,57.82%,58.72%,58.67%
satellite,74.19(3.23),63.34(0.04),58.3(0.05),54.54(1.26),76.18(0.55),69.5(1.07),72.09(0.14),61.39(2.92),54.98(1.29),80.39(0.07),66.24(0.21),60.14(0.07),67.46(2.21),56.21(5.85),60.8(1.23),70.21(3.55),62.65(1.77),67.05(1.01),71.53(0.52),70.15(0.19),58.17(6.67),71.05(1.82),69.01%,59.77%,55.83%,69.02%,63.44%,58.36%,63.75%,73.13%
satimage-2,99.88(0.01),97.46(0.04),96.52(0.05),52.55(7.36),97.6(0.12),99.28(0.16),99.24(0.61),98.14(0.49),53.91(7.29),99.53(0.06),99.67(0.01),97.72(0.03),91.13(4.48),55.12(12.77),57.86(11.12),99.56(0.06),89.76(2.38),97.03(0.86),99.55(0.05),97.95(1.48),85.81(5.97),94.56(1.27),99.66%,97.87%,49.06%,99.15%,96.58%,95.42%,73.90%,98.84%
shuttle,62.06(3.96),99.5(0.1),99.3(0.01),49.29(3.4),98.63(0.23),99.71(0.03),73.16(0.66),38.87(13.16),52.55(1.09),99.01(0.01),99.18(0.0),98.99(0.03),89.77(5.59),57.58(13.24),50.0(0.0),20.78(28.35),64.17(14.05),85.16(6.0),97.5(2.28),69.83(0.34),66.86(26.52),97.62(1.2),98.09%,98.28%,50.84%,99.70%,99.50%,99.32%,64.60%,97.18%
skin,67.51(3.8),47.12(0.19),48.97(0.1),53.38(0.29),58.84(0.37),66.97(0.65),71.97(0.13),44.16(1.92),54.97(0.17),89.15(0.15),54.73(0.45),44.69(0.58),55.44(17.81),54.82(7.49),70.84(1.68),57.86(4.33),26.45(9.05),77.33(3.97),46.09(2.11),71.81(0.13),74.05(3.66),74.05(2.35),63.62%,48.63%,56.86%,66.68%,47.08%,48.87%,47.84%,62.71%
smtp,86.29(4.76),91.17(1.63),88.22(2.47),79.36(5.06),80.91(4.76),90.5(2.2),93.26(1.74),81.88(3.56),89.92(5.31),94.84(0.93),84.49(4.46),85.62(4.92),86.77(5.56),89.53(5.1),50.0(0.0),91.53(1.82),65.61(12.08),78.37(11.9),95.56(1.3),92.97(1.89),76.92(14.33),95.07(1.36),,,,,,,,
spambase,54.13(0.68),68.79(0.08),65.57(0.12),42.41(0.84),66.41(1.18),63.72(2.0),56.56(0.27),47.98(10.23),45.29(0.42),44.55(3.6),53.43(0.18),54.77(0.69),48.84(4.87),58.44(7.73),49.04(1.5),49.57(9.44),45.88(1.79),52.83(6.32),51.01(1.51),54.47(0.38),50.93(4.84),51.52(1.9),55.42%,52.46%,43.91%,63.74%,68.49%,65.31%,45.77%,28.57%
speech,47.11(0.24),48.89(0.29),46.95(0.04),50.85(0.71),47.32(0.19),47.62(0.7),48.0(0.09),46.57(1.85),51.15(0.65),49.37(1.87),46.59(0.1),46.89(0.04),52.22(4.41),51.24(3.1),48.27(1.74),45.81(1.99),51.16(2.23),49.56(3.55),46.57(1.17),48.73(1.02),48.84(4.05),49.46(1.46),46.33%,47.81%,50.96%,47.71%,46.19%,44.79%,50.75%,63.39%
stamps,66.04(2.92),92.92(0.83),87.72(1.03),50.16(7.61),90.4(1.0),90.72(1.09),86.97(2.04),83.1(9.15),51.18(9.24),83.83(3.64),88.24(1.44),90.94(1.59),71.89(9.56),46.51(7.98),76.0(7.44),77.44(13.78),50.51(4.05),83.81(4.86),55.55(12.83),82.02(4.05),69.17(18.33),75.25(5.15),,,,,,,,
thyroid,90.93(1.07),93.91(0.26),97.71(0.11),70.68(1.69),94.84(1.01),97.91(0.55),96.52(0.21),81.89(12.49),65.69(3.08),98.57(0.04),95.83(0.12),95.48(0.31),71.85(12.11),50.45(2.0),88.89(4.95),57.42(27.16),69.25(5.72),99.18(0.26),87.06(1.5),96.43(0.3),82.75(12.16),99.02(0.12),92.82%,84.74%,94.15%,97.71%,94.24%,97.71%,78.14%,81.52%
vertebral,46.34(1.41),26.28(3.94),41.67(3.03),47.32(5.6),31.73(3.46),36.18(3.44),37.9(2.03),29.44(5.11),48.68(3.4),38.9(2.16),42.61(0.9),37.82(2.71),46.96(9.72),39.42(2.69),42.45(15.87),46.81(12.68),44.9(1.08),40.86(14.66),56.34(7.41),40.04(2.58),45.07(14.43),45.76(8.79),45.27%,41.75%,35.41%,33.82%,29.10%,41.19%,46.13%,78.21%
vowels,88.38(0.5),49.6(0.44),59.3(0.38),93.29(1.73),67.91(0.98),76.26(3.14),95.09(0.23),70.52(4.82),93.18(1.07),73.21(8.48),77.87(0.98),60.35(0.6),46.44(13.27),51.37(2.96),73.81(15.9),79.08(5.62),78.42(2.32),88.82(3.83),90.34(2.76),96.42(0.42),70.49(8.5),91.42(5.8),90.39%,60.67%,94.57%,80.75%,51.91%,61.02%,78.69%,87.59%
waveform,70.14(0.99),73.89(0.4),60.31(0.21),71.52(2.12),69.38(0.64),70.69(5.94),74.97(0.82),59.4(6.16),69.26(1.81),57.16(0.49),66.88(0.3),63.53(0.26),52.3(7.42),60.86(7.12),67.4(1.94),59.15(5.89),66.05(2.92),63.97(5.61),61.72(3.41),72.91(1.34),52.29(6.3),60.2(3.55),67.63%,53.22%,74.11%,70.12%,73.02%,59.74%,64.89%,68.58%
wbc,97.71(1.1),99.4(0.1),99.38(0.12),38.83(10.4),98.7(0.16),99.58(0.15),98.21(0.47),99.17(0.13),60.66(8.68),98.77(1.03),98.72(0.54),99.28(0.25),82.09(14.37),50.34(17.76),82.08(10.35),94.86(4.74),85.34(4.73),93.36(3.36),94.8(1.16),97.94(0.76),89.38(7.64),87.06(3.83),94.05%,93.42%,93.69%,93.77%,96.42%,90.27%,76.33%,59.76%
wdbc,98.98(0.42),99.29(0.14),97.05(0.65),86.65(8.37),98.94(0.24),98.83(0.39),98.04(0.64),98.04(0.77),84.87(9.38),96.9(1.12),98.42(0.37),98.8(0.31),71.51(25.04),60.2(20.82),34.73(16.78),98.28(1.25),73.78(7.19),98.54(0.81),96.54(0.93),97.49(1.11),56.64(26.56),83.51(6.61),,,,,,,,
wilt,39.59(1.76),34.49(0.27),39.4(0.12),66.59(7.27),34.81(2.83),45.13(3.34),51.05(0.65),31.31(9.9),67.81(1.65),85.88(0.06),31.66(0.3),23.94(0.42),43.18(5.91),46.5(1.58),39.99(3.03),55.46(8.59),64.85(3.41),79.36(2.41),65.9(3.92),55.15(0.61),83.38(7.17),85.12(1.73),,,,,,,,
wine,45.27(33.4),86.46(4.66),73.77(4.79),32.34(5.54),90.72(3.31),78.61(6.71),47.04(3.12),82.17(3.91),32.97(14.63),97.54(1.59),67.14(3.79),81.91(2.83),51.27(29.94),50.72(23.41),62.05(21.99),73.37(23.81),45.47(4.33),38.99(21.89),37.39(8.37),42.45(6.29),31.01(10.98),55.71(11.39),,,,,,,,
wpbc,48.68(3.14),51.87(3.09),48.91(2.35),43.61(3.13),54.81(2.85),51.55(1.88),51.22(2.52),50.07(3.44),44.66(3.87),53.41(4.03),48.51(2.34),48.62(2.27),44.94(2.82),49.34(2.52),48.26(3.3),46.64(5.66),48.76(5.04),48.34(3.69),49.31(3.97),50.22(3.27),48.91(3.81),46.79(6.57),,,,,,,,
yeast,46.06(1.23),38.03(0.15),44.31(0.16),46.45(1.53),40.17(0.97),39.42(1.16),39.62(0.95),46.13(4.68),45.3(2.12),40.64(1.1),41.95(0.43),41.75(0.4),50.33(4.55),52.04(3.8),39.57(4.74),50.31(3.51),46.59(2.15),44.2(5.92),46.31(0.72),39.98(1.1),44.61(4.27),42.03(2.62),,,,,,,,
yelp,63.53(0.34),60.52(0.15),57.78(0.04),66.1(0.42),59.97(0.11),60.15(0.34),67.01(0.17),58.1(2.89),66.11(0.48),65.49(0.64),62.08(0.04),59.19(0.1),49.83(1.27),52.43(8.88),50.35(0.54),59.02(3.78),54.52(0.49),52.67(1.98),59.38(0.12),67.08(0.37),51.37(3.24),60.16(3.22),,,,,,,,
